date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T),dow,is_weekend,is_closed,close_reason,is_event,pre_event_peak,restock_flag
2024-09-05,0.0,0.0,0.0,3,0,1,Sakit,0,0,0
2024-09-06,26.24,9.14,3.66,4,0,0,,0,0,0
2024-09-07,21.92,6.93,3.6,5,1,0,,0,0,0
2024-09-08,24.64,7.52,3.54,6,1,0,,0,0,0
2024-09-09,27.2,12.14,3.23,0,0,0,,0,0,0
2024-09-10,24.8,11.0,3.31,1,0,0,,0,0,0
2024-09-11,25.36,13.49,3.14,2,0,0,,0,0,0
2024-09-12,26.24,9.75,3.12,3,0,0,,0,0,0
2024-09-13,26.56,12.34,3.23,4,0,0,,0,0,0
2024-09-14,21.92,10.61,3.54,5,1,0,,0,0,0
2024-09-15,26.0,13.07,3.57,6,1,0,,0,0,0
2024-09-16,23.68,11.64,3.34,0,0,0,,0,0,0
2024-09-17,23.36,12.21,3.63,1,0,0,,0,0,0
2024-09-18,22.4,10.82,3.26,2,0,0,,0,0,0
2024-09-19,25.12,11.91,3.49,3,0,0,,0,0,0
2024-09-20,26.16,12.4,3.66,4,0,0,,0,0,0
2024-09-21,27.6,9.47,3.23,5,1,0,,0,0,0
2024-09-22,27.52,10.18,3.23,6,1,0,,0,0,0
2024-09-23,28.0,11.24,3.23,0,0,0,,0,0,0
2024-09-24,25.92,12.14,3.43,1,0,0,,0,0,0
2024-09-25,25.04,13.02,3.57,2,0,0,,0,0,0
2024-09-26,26.16,11.44,3.66,3,0,0,,0,0,0
2024-09-27,27.12,11.98,3.6,4,0,0,,0,0,0
2024-09-28,23.36,10.46,3.26,5,1,0,,0,0,0
2024-09-29,28.08,10.82,3.34,6,1,0,,0,0,0
2024-09-30,28.0,12.21,3.29,0,0,0,,0,0,0
2024-10-01,25.04,9.89,3.57,1,0,0,,0,0,0
2024-10-02,24.4,11.71,3.46,2,0,0,,0,0,0
2024-10-03,23.28,10.54,3.57,3,0,0,,0,0,0
2024-10-04,26.4,12.34,3.31,4,0,0,,0,0,0
2024-10-05,27.92,13.02,3.51,5,1,0,,0,0,0
2024-10-06,23.12,12.01,3.17,6,1,0,,0,0,0
2024-10-07,24.32,11.24,3.29,0,0,0,,0,0,0
2024-10-08,23.52,10.68,3.49,1,0,0,,0,0,0
2024-10-09,25.84,12.27,3.2,2,0,0,,0,0,0
2024-10-10,24.56,10.54,3.14,3,0,0,,0,0,0
2024-10-11,27.12,9.96,3.03,4,0,0,,0,0,0
2024-10-12,24.56,11.57,3.31,5,1,0,,0,0,0
2024-10-12,24.56,11.57,3.31,5,1,0,,0,0,0
2024-10-13,27.84,10.89,3.17,6,1,0,,0,0,0
2024-10-14,26.32,12.47,3.29,0,0,0,,0,0,0
2024-10-15,25.92,11.24,3.49,1,0,0,,0,0,0
2024-10-16,24.64,10.96,3.34,2,0,0,,0,0,0
2024-10-17,26.24,9.75,3.37,3,0,0,,0,0,0
2024-10-18,26.72,12.34,3.23,4,0,0,,0,0,0
2024-10-19,23.36,10.61,3.49,5,1,0,,0,0,0
2024-10-20,27.84,12.27,3.26,6,1,0,,0,0,0
2024-10-21,27.04,11.44,3.37,0,0,0,,0,0,0
2024-10-22,25.68,10.96,3.49,1,0,0,,0,0,0
2024-10-23,28.8,12.8,3.2,2,0,0,,0,0,0
2024-10-24,26.88,11.17,3.29,3,0,0,,0,0,0
2024-10-25,26.0,13.12,3.37,4,0,0,,0,0,0
2024-10-26,24.8,12.54,3.34,5,1,0,,0,0,0
2024-10-27,26.24,11.44,3.4,6,1,0,,0,0,0
2024-10-28,25.04,9.54,3.37,0,0,0,,0,0,0
2024-10-29,150.0,12.14,3.26,1,0,0,,0,1,1
2024-10-30,29.2,13.12,3.37,2,0,0,,0,0,0
2024-10-31,25.84,11.91,3.46,3,0,0,,0,0,0
2024-11-01,23.92,10.46,3.34,4,0,0,,0,0,0
2024-11-02,26.16,12.34,3.57,5,1,0,,0,0,0
2024-11-03,26.56,11.24,3.2,6,1,0,,0,0,0
2024-11-04,26.48,12.54,3.4,0,0,0,,0,0,0
2024-11-05,24.48,11.71,3.51,1,0,0,,0,0,0
2024-11-06,25.2,12.47,3.29,2,0,0,,0,0,0
2024-11-07,25.12,10.39,3.43,3,0,0,,0,0,0
2024-11-08,26.32,11.98,3.37,4,0,0,,0,0,0
2024-11-09,26.72,13.12,3.49,5,1,0,,0,0,0
2024-11-10,27.68,12.21,3.31,6,1,0,,0,0,0
2024-11-11,27.04,10.75,3.26,0,0,0,,0,0,0
2024-11-12,24.72,11.64,3.37,1,0,0,,0,0,0
2024-11-13,25.36,10.82,3.49,2,0,0,,0,0,0
2024-11-14,26.24,11.37,3.29,3,0,0,,0,0,0
2024-11-15,25.76,9.82,3.31,4,0,0,,0,0,0
2024-11-16,27.04,12.14,3.54,5,1,0,,0,0,0
2024-11-17,26.56,11.12,3.37,6,1,0,,0,0,0
2024-11-18,25.84,10.61,3.26,0,0,0,,0,0,0
2024-11-19,25.44,11.24,3.17,1,0,0,,0,0,0
2024-11-20,24.4,10.68,3.31,2,0,0,,0,0,0
2024-11-21,26.72,11.01,3.2,3,0,0,,0,0,0
2024-11-22,0.0,0.0,0.0,4,0,1,Sakit,0,0,0
2024-11-23,27.2,10.57,3.26,5,1,0,,0,0,0
2024-11-24,27.12,12.14,3.29,6,1,0,,0,0,0
