date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
10/5/2024,9.4,0,5,1,0,0,0
10/6/2024,7.5,0,6,1,0,0,0
10/7/2024,5.6,0,0,0,0,0,0
10/8/2024,0,0,1,0,0,0,0
10/9/2024,0,0,2,0,0,0,0
10/10/2024,0.7,0,3,0,0,0,0
10/11/2024,3.5,0,4,0,0,0,0
10/12/2024,3.2,0,5,1,0,0,0
10/13/2024,4.6,0,6,1,0,0,0
10/14/2024,0,0,0,0,0,0,0
10/15/2024,4.1,0,1,0,0,0,0
10/16/2024,1.2,0,2,0,0,0,0
10/17/2024,5.7,0,3,0,0,0,0
10/18/2024,7.7,0,4,0,0,0,0
10/19/2024,0,0,5,1,0,0,0
10/20/2024,3.7,0,6,1,0,0,0
10/21/2024,4.2,0,0,0,0,0,0
10/22/2024,10.4,0,1,0,0,0,0
10/23/2024,0,0,2,0,0,0,0
10/24/2024,8.4,0,3,0,0,0,0
10/25/2024,3,0,4,0,0,0,0
10/26/2024,2.3,0,5,1,0,0,0
10/27/2024,2.8,0,6,1,0,0,0
10/28/2024,12.8,0,0,0,0,0,0
10/29/2024,10,0,1,0,0,1,1
10/30/2024,6.6,0,2,0,0,0,0
10/31/2024,5.8,0,3,0,0,0,0
11/1/2024,6.2,0,4,0,0,0,0
11/2/2024,2.7,0,5,1,0,0,0
11/3/2024,5.5,0,6,1,0,0,0
11/4/2024,0,0,0,0,0,0,0
11/5/2024,1.5,0,1,0,0,0,0
11/6/2024,5.6,0,2,0,0,0,0
11/7/2024,8.6,0,3,0,0,0,0
11/8/2024,9.3,0,4,0,0,0,0
11/9/2024,0.6,0,5,1,0,0,0
11/10/2024,7.6,0,6,1,0,0,0
11/11/2024,5,0,0,0,0,0,0
11/12/2024,0.5,0,1,0,0,0,0
11/13/2024,3.5,0,2,0,0,0,0
11/14/2024,10.5,0,3,0,0,0,0
11/15/2024,0,0,4,0,0,0,0
11/16/2024,6.7,0,5,1,0,0,0
11/17/2024,3.9,0,6,1,0,0,0
11/18/2024,3.6,0,0,0,0,0,0
11/19/2024,1.4,0,1,0,0,0,0
11/20/2024,2.5,0,2,0,0,0,0
11/21/2024,0,0,3,0,0,0,0
11/22/2024,0,1,4,0,0,0,0
11/23/2024,6.2,0,5,1,0,0,0
11/24/2024,1.6,0,6,1,0,0,0
11/25/2024,8.9,0,0,0,0,0,0
11/26/2024,3.1,0,1,0,0,0,0
11/27/2024,9.6,0,2,0,0,0,0
11/28/2024,3.1,0,3,0,0,0,0
11/29/2024,9.9,0,4,0,0,0,0
11/30/2024,6.4,0,5,1,0,0,0
12/1/2024,2.6,0,6,1,0,0,0
12/2/2024,9.7,0,0,0,0,0,0
12/3/2024,4,0,1,0,0,0,0
12/4/2024,0,0,2,0,0,0,0
12/5/2024,3.7,0,3,0,0,0,0
12/6/2024,4.8,0,4,0,0,0,0
12/7/2024,2.3,0,5,1,0,0,0
12/8/2024,12.3,0,6,1,0,0,0
12/9/2024,4,0,0,0,0,0,0
12/10/2024,6.7,0,1,0,0,0,0
12/11/2024,13.9,0,2,0,0,0,0
12/12/2024,8.5,0,3,0,0,0,0
12/13/2024,7.1,0,4,0,0,0,0
12/14/2024,3,0,5,1,0,0,0
12/15/2024,9.9,0,6,1,0,0,0
12/16/2024,3,0,0,0,0,0,0
12/17/2024,9.9,0,1,0,0,0,0
12/18/2024,8.8,0,2,0,0,0,0
12/19/2024,2.2,0,3,0,0,0,0
12/20/2024,3.2,0,4,0,0,0,0
12/21/2024,0,0,5,1,0,0,0
12/22/2024,6.9,0,6,1,0,0,0
12/23/2024,7.1,0,0,0,0,0,0
12/24/2024,4.9,0,1,0,0,0,0
12/25/2024,8.6,0,2,0,0,0,0
12/26/2024,2,0,3,0,0,0,0
12/27/2024,8.7,0,4,0,0,0,0
12/28/2024,10,0,5,1,0,0,0
12/29/2024,12.7,0,6,1,0,0,0
12/30/2024,12.7,0,0,0,0,0,0
12/31/2024,0,0,1,0,1,1,0
