date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
2024-09-24,25.92,0,1,0,0,0,0
2024-09-25,25.04,0,2,0,0,0,0
2024-09-26,26.16,0,3,0,0,0,0
2024-09-27,27.12,0,4,0,0,0,0
2024-09-28,23.36,0,5,1,0,0,0
2024-09-29,28.08,0,6,1,0,0,0
2024-09-30,28.0,0,0,0,0,0,0
2024-10-01,25.04,0,1,0,0,0,0
2024-10-02,24.4,0,2,0,0,0,0
2024-10-03,23.28,0,3,0,0,0,0
2024-10-04,26.4,0,4,0,0,0,0
2024-10-05,27.92,0,5,1,0,0,0
2024-10-06,23.12,0,6,1,0,0,0
2024-10-07,24.32,0,0,0,0,0,0
2024-10-08,23.52,0,1,0,0,0,0
2024-10-09,25.84,0,2,0,0,0,0
2024-10-10,24.56,0,3,0,0,0,0
2024-10-11,27.12,0,4,0,0,0,0
2024-10-12,24.56,0,5,1,0,0,0
2024-10-13,27.84,0,6,1,0,0,0
2024-10-14,26.32,0,0,0,0,0,0
2024-10-15,25.92,0,1,0,0,0,0
2024-10-16,24.64,0,2,0,0,0,0
2024-10-17,26.24,0,3,0,0,0,0
2024-10-18,26.72,0,4,0,0,0,0
2024-10-19,23.36,0,5,1,0,0,0
2024-10-20,27.84,0,6,1,0,0,0
2024-10-21,27.04,0,0,0,0,0,0
2024-10-22,25.68,0,1,0,0,0,0
2024-10-23,28.8,0,2,0,0,0,0
2024-10-24,26.88,0,3,0,0,0,0
2024-10-25,26.0,0,4,0,0,0,0
2024-10-26,24.8,0,5,1,0,0,0
2024-10-27,26.24,0,6,1,0,0,0
2024-10-28,25.04,0,0,0,0,0,0
2024-10-29,150.0,0,1,0,0,1,1
2024-10-30,29.2,0,2,0,0,0,0
2024-10-31,25.84,0,3,0,0,0,0
2024-11-01,23.92,0,4,0,0,0,0
2024-11-02,26.16,0,5,1,0,0,0
2024-11-03,26.56,0,6,1,0,0,0
2024-11-04,26.48,0,0,0,0,0,0
2024-11-05,24.48,0,1,0,0,0,0
2024-11-06,25.2,0,2,0,0,0,0
2024-11-07,25.12,0,3,0,0,0,0
2024-11-08,26.32,0,4,0,0,0,0
2024-11-09,26.72,0,5,1,0,0,0
2024-11-10,27.68,0,6,1,0,0,0
2024-11-11,27.04,0,0,0,0,0,0
2024-11-12,24.72,0,1,0,0,0,0
2024-11-13,25.36,0,2,0,0,0,0
2024-11-14,26.24,0,3,0,0,0,0
2024-11-15,25.76,0,4,0,0,0,0
2024-11-16,27.04,0,5,1,0,0,0
2024-11-17,26.56,0,6,1,0,0,0
2024-11-18,25.84,0,0,0,0,0,0
2024-11-19,25.44,0,1,0,0,0,0
2024-11-20,24.4,0,2,0,0,0,0
2024-11-21,26.72,0,3,0,0,0,0
2024-11-22,0.0,1,4,0,0,0,0
2024-11-23,27.2,0,5,1,0,0,0
2024-11-24,27.12,0,6,1,0,0,0
2024-11-25,25.28,0,0,0,0,0,0
2024-11-26,27.04,0,1,0,0,0,0
2024-11-27,28.4,0,2,0,0,0,0
2024-11-28,27.52,0,3,0,0,0,0
2024-11-29,26.32,0,4,0,0,0,0
2024-11-30,26.24,0,5,1,0,0,0
2024-12-01,26.56,0,6,1,0,0,0
2024-12-02,25.52,0,0,0,0,0,0
2024-12-03,24.48,0,1,0,0,0,0
2024-12-04,25.04,0,2,0,0,0,0
2024-12-05,27.2,0,3,0,0,0,0
2024-12-06,27.84,0,4,0,0,0,0
2024-12-07,27.04,0,5,1,0,0,0
2024-12-08,26.48,0,6,1,0,0,0
2024-12-09,28.72,0,0,0,0,0,0
2024-12-10,27.12,0,1,0,0,0,0
2024-12-11,26.72,0,2,0,0,0,0
2024-12-12,25.52,0,3,0,0,0,0
2024-12-13,27.04,0,4,0,0,0,0
2024-12-14,28.08,0,5,1,0,0,0
2024-12-15,27.84,0,6,1,0,0,0
2024-12-16,26.24,0,0,0,0,0,0
2024-12-17,25.92,0,1,0,0,0,0
2024-12-18,25.04,0,2,0,0,0,0
2024-12-19,26.96,0,3,0,0,0,0
2024-12-20,24.64,0,4,0,0,0,0
2024-12-21,27.68,0,5,1,0,0,0
2024-12-22,27.12,0,6,1,0,0,0
2024-12-23,26.8,0,0,0,0,0,0
2024-12-24,26.56,0,1,0,0,0,0
2024-12-25,27.04,0,2,0,0,0,0
2024-12-26,26.32,0,3,0,0,0,0
2024-12-27,25.68,0,4,0,0,0,0
2024-12-28,27.36,0,5,1,0,0,0
2024-12-29,26.4,0,6,1,0,0,0
2024-12-30,25.2,0,0,0,0,0,0
2024-12-31,31.55,0,1,0,1,1,0
